,company,cons,pros,rating,title
2669,Google,A lot meetings. Coordination skills required,Working with colleagues closely. Different projects.,5.0,"""Program Manager"""
2670,Google,"Cost of living around Mountain View, CA",Challenging work; good perk; huge loads of learning opportunities,5.0,"""Great company to work for"""
2671,Google,"Work/life balance. What balance? All those perks and benefits are an illusion. They keep you at work and they help you to be more productive. I've never met anybody at Google who actually time off on weekends or on vacations. You may not hear management say, ""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down. I don't know if Google inadvertently hires t","1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day. 2) Benefits/perks. Free 24:7 gym access (on MTV campus). Free (self service) laundry (washer/dryer) available. Bowling alley. Volley ball pit. Custom-built and exclusive employee use only outdoor sport park (MTV). Free health/fitness assessments. Dog-friendly. Etc. etc.",4.0,"""Great PLace"""
2672,Google,"Not hangouts. Seriously, not hangouts. Toxic, information-hoarding engineers and a lost mission. Working there made it difficult to transfer to other teams/organizations, because of the awful reputation it had.","Great Pay, including good insurance, annual bonuses, and stock grants. Free, prepared on-site meals for breakfast, lunch, and dinner.",4.0,"""Good experience, but NOT hangouts"""
2673,Google,Somtimes it is easy to feel like you are a cog in a wheel. Not very easy to progress.,Super friendly management. Great company perks that make you love going to work. Challenging work that makes you care.,5.0,"""Great Place"""
2674,Google,"There is more work than can be completed, and the management likes to keep everyone really busy, so they are continually introducing new projects despite the current workload. Focus is on doing things quickly just good enough to make things work, so you end up with buggy code and a poor understanding of how systems interact. Lots of distractions because of open floor plans and frequent company-sponsored events (talks, parties, team-building), so many people end up working at home when they need to get work done.","Really smart people, lots of resources, good benefits, free on-site meals, opportunity to travel, and the work can be very interesting depending in what area you are working.",4.0,"""You won't be bored."""
2675,Google,"Boring projects, hard to transfer internally","Great benefits, cordial environment, work-life balance is excellent.",4.0,"""Mixed Bag"""
2676,Google,not much to say,"work environment, technology, culture",5.0,"""review"""
2677,Google,Base pay is lower than market,Great work life balance. Opportunity to work with some of the best talent in the field.,5.0,"""Data Scientist"""
2678,Google,"too big to move, politics","good work life balance, nice co-workers",5.0,"""software engineer"""
2679,Google,"Hard to get in. Hard to get promoted quickly. That's it, otherwise i love everything here!","Salary, bonus are very competitive. Equity is what makes it so valuable. People around you are super bright but also very open, willing to help, willing to explain. At other companies ive worked at, the seemingly talented people are also the least willing to go out of way to help, thats not the case at google. benefits are amazing - free breakfast lunch and dinner. pay for phone. pay for home internet. pay for insurance. unlimited sick days. 3-6 month maternity league. Just amazing benefits overall. Great speakers comes to the offices to present all the time, super interesting sometimes.",5.0,"""Support Specialist"""
2680,Google,"Hard to get in. Hard to get promoted quickly. That's it, otherwise i love everything here!","Salary, bonus are very competitive. Equity is what makes it so valuable. People around you are super bright but also very open, willing to help, willing to explain. At other companies ive worked at, the seemingly talented people are also the least willing to go out of way to help, thats not the case at google. benefits are amazing - free breakfast lunch and dinner. pay for phone. pay for home internet. pay for insurance. unlimited sick days. 3-6 month maternity league. Just amazing benefits overall. Great speakers comes to the offices to present all the time, super interesting sometimes.",5.0,"""Support Specialist"""
2681,Google,I dont think there is cons,good ppl . good benefits,5.0,"""I worked at Google more than one year"""
2682,Google,Long commute can be an issue to some people.,Freedom. Smart people. Transparency.,5.0,"""Lead Generation Specialist"""
2683,Google,"Some roles aren't well scoped out so there's a risk of not being a good fit resulting in some bad experience, Your manager will determine to a large extent the experience you will have at Google (Bad manager = Bad experience)","Smart people, amazing perks and benefits, there's tonnes of opportunities internally if you want to move to a different team, challenging work, performance reviews and promotion process is well documented and not some magical process",4.0,"""Technical Program Manager"""
2684,Google,too large. hard to contribute significantly,"good company, excellent team and people, good growth",4.0,"""engineer"""
2685,Google,Hard to move up or to other departments. Lots of bureaucracy and bad managers.,"Good perks: food, gym, shuttle, etc, hours Google is good if you're happy in current role/level and no desire to move and enjoy perks and work/life balance. Not a good fit if you are ambitious and want career to move forward not lateral or stay stagnant.",3.0,"""Not a bed of roses"""
2686,Google,"With 75K employees, there are bound to be some bad leaders. Some of the ingrained folks have worked from being good software engineers to being terrible managers/directors.","Fantastic benefits - gold plated insurance with reasonable employee expense. Above market salaries in many locations, roles.",4.0,"""It's who you work for..."""
2687,Google,"Although it does a good job of cutting down on bureaucracy, Google is not completely free from some problems that affect large companies. Because there are so many brilliant people fighting for projects, politically savvy becomes an important skill. Additionally, occasional shake-ups do mean that some projects get canceled.","Most people I worked with were very intelligent, friendly, and respectful. Engineers are well-respected, and the tools and processes are world-class. My programming skill has improved very significantly in the year and a half that I was here.",4.0,"""Great place to work"""
2688,Google,"Big company problems. You might get stuck on a project you don't like, doing a lot of work you aren't passionate about. Plus development work can move pretty slow depending on your project or team.",Collaborative environment with awesome perks. You get to work with the smartest folks and have access to so many useful resources.,5.0,"""Great Company"""
2689,Google,"No cons really, I really enjoyed my time there! I would say it is really easy to get lost in all the exciting things around you at work - that's it. Just keep grounded.",Great people to work with. Helpful and take the time to really care about your project. Also great tools to work with.,5.0,"""Software Intern"""
2690,Google,"This place is huge! This can also be seen as a good thing if you like stability and infrastructure. However, sometimes I felt like a very, very minute and insignificant ""Red Badger"" in a sea of White and Green Badges. Full Time Employees and Interns, that have more access than contractors.",Always friendly and talented people working all around you. Can always find someone like-minded and who may even share similar hobbies.,4.0,"""Tech Behemoth, Find Your Niche"""
2691,Google,Code review takes so long.,"Great engineer culture, nice co-workers willing to help.",5.0,"""Great Company"""
2692,Google,As a big corporation it takes some steps to get things approve,"Amazing place, benefits, inspiring people. Collaborative enviroment",4.0,"""Sales development"""
2693,Google,"offices are in the suburbs. there's a free bus from san francisco, but the commute is still hella uncool","the food was pretty dece, nice espresso machines, no one really noticed that I was severely depressed and not getting any work done for almost 2 years",4.0,"""pretty chill"""
2694,Google,Many different and changing processes. Huge company so easy to feel small and not impactful. Many levels to climb to be promoted and difficult promotion process.,"Great benefits, ability to work on exciting projects, transparency into company goals and efforts across all different departments.",5.0,"""Events Marketing Manager"""
2695,Google,Some elitist attitudes though the exception not the rule,"Great facilities, hours, flexibility, as well as training",4.0,"""Account Strategist"""
2696,Google,work can be too stressful at times,"great team work , everyone helps a lot, great projects. as an intern got to learn a lot",5.0,"""Intern"""
2697,Google,Long hours but worth every minute,Exciting contracts and watching growth of company,5.0,"""Corporate Counsel"""
2698,Google,"Many larger organizations within Google do not adhere to the company's philosophy for flat organizations, do not encourage work/life balance, and use rigorous process for reviews which seems to encourage turn-over for senior team members. This things makes it feel like the Google-way is a myth.","Collaborative environment, great benefits and perks, ability to give 360 feedback.",3.0,"""Used to be great, now it's just OK"""
2699,Google,"Work life balance can suffer if you don't pay attention. Meals, gyms, pleasant work environments are designed to keep you happy working. And they work. In my first year I found myself working 12 hour days at a minimum. But I made the conscious decision to cut back my time, and adjust my goals so I wasn't killing myself, while still doing amazing work.","Flexible working hours. More about getting the work done than being chained to a desk from morning to night. I work with an amazingly supportive global team that supports Sellers. Benefits, perks, etc. are great. But the people make it worth it.",5.0,"""Great place to work"""
2700,Google,The project matching phase took quite amount of time.,The project I worked on was fantastic. I loved it a lot.,5.0,"""Had an amazing summer!"""
